Sanskrit,English
सर्वे भद्राणि पश्यन्तु,May all see auspicious things
भ्राता,brother
योगः कर्मसु कौशलम्,Yoga is skill in action
अत्र,here
नायमात्मा बलहीनेन लभ्यः,The Self is not attained by the weak
नगरम्,city
आनन्दो ब्रह्म,Bliss is Brahman
शृणु,listen
उत्तिष्ठ जाग्रत प्राप्य वरान्निबोधत,Arise awake and realize the truth
देहः,body
अहं ब्रह्मास्मि,I am Brahman
मार्गः,way
सत्यं ब्रूयात् प्रियं ब्रूयात्,Speak truth speak pleasantly
प्रथमः,first
मृत्योर्मा अमृतं गमय,Lead me from death to immortality
जलम्,water
धर्मो रक्षति रक्षितः,Dharma protects those who protect it
शक्तिः,power
असतो मा सद्गमय,Lead me from untruth to truth
घण्टाः,hours
तत्त्वमसि,Thou art That
बालकः,child
न हि ज्ञानेन सदृशं पवित्रम्,Nothing is as purifying as knowledge
सह वीर्यं करवावहै,May we work together with energy
विश्वासः,believe
मन एव मनुष्याणां कारणं बन्धमोक्षयोः,The mind is the cause of bondage and liberation
सुन्दरः,beautiful
सर्वधर्मान्परित्यज्य मामेकं शरणं व्रज,Surrender unto Me alone
कालः,time
अन्नं ब्रह्म,Food is sacred
वदति,speak
न कश्चित्,no one
सर्वे भवन्तु सुखिनः,May all be happy
प्रज्ञानं ब्रह्म,Consciousness is Brahman
नष्टः,lost
विद्या ददाति विनयम्,Knowledge gives humility
अहिंसा परमो धर्मः,Nonviolence is the highest dharma
पृथिवी,earth
तेजस्वि नावधीतमस्तु,May our study be enlightening
सत्येन जयते नानृतम्,Truth alone triumphs not falsehood
शान्तिः शान्तिः शान्तिः,Peace peace peace
हस्तः,hand
कर्मण्येवाधिकारस्ते मा फलेषु कदाचन,You have the right to action but not to the fruits
प्रेम,would like / love
एकं सद्विप्रा बहुधा वदन्ति,Truth is one sages call it by many names
गृहः,house
न जायते म्रियते वा कदाचित्,The soul is never born nor does it die
उद्धरेदात्मनाऽत्मानं नात्मानमवसादयेत्,Elevate yourself do not degrade yourself
त्यज्,let
सह नाववतु,May we be protected together
न हि कल्याणकृत्कश्चिद्दुर्गतिं गच्छति,None who does good ever comes to harm
प्रातः,morning
यदा यदा हि धर्मस्य ग्लानिर्भवति,Whenever righteousness declines
सर्वे सन्तु निरामयाः,May all be free from illness
आत्मानं विद्धि,Know yourself
अद्य,today
धर्म एव हतो हन्ति,Dharma destroyed destroys
स्थानम्,place
माता भूमिः पुत्रोऽहं पृथिव्याः,Earth is my mother I am her son
नेत्रे,eyes
श्रेयान्स्वधर्मो विगुणः,Better one's own duty imperfectly done
शक्नोति,could
तमसो मा ज्योतिर्गमय,Lead me from darkness to light
सह नौ भुनक्तु,May we be nourished together
धैर्यं सर्वत्र साधनम्,Patience is the means everywhere
काम एष क्रोध एष,It is desire it is anger
मासः,month
ज्ञानेन तु तदज्ञानं नाशयति,Knowledge destroys ignorance
पति,husband
कार्यः,job
अत्र,here
मा विद्विषावहै,May we not hate one another
वसुधैव कुटुम्बकम्,The world is one family
प्रकारः,kind
पुनर्मिलनम्,meet again
नूतनः,new
ज्ञातवान्,knew
अहं युद्धाय गन्तुम् इच्छामि,I wish to go to war
आसीत्,was
अन्तः,end
सावधानम्,warning
सत्यं एव बलम्,Truth itself is power
